"Edition"	"Discipline"	"Event_gender"	"c"
"2004"	"cycling track"	"m"	8
"2004"	"cycling track"	"w"	4
"2004"	"diving"	"m"	4
"2004"	"diving"	"w"	4
"2004"	"dressage"	"x"	2
"2004"	"eventing"	"x"	2
"2004"	"fencing"	"m"	6
"2004"	"fencing"	"w"	4
"2004"	"football"	"m"	1
"2004"	"football"	"w"	1
"2004"	"handball"	"m"	1
"2004"	"handball"	"w"	1
"2004"	"hockey"	"m"	1
"2004"	"hockey"	"w"	1
"2004"	"judo"	"m"	7
"2004"	"judo"	"w"	7
"2004"	"jumping"	"x"	2
"2004"	"modern pentath."	"m"	1
"2004"	"modern pentath."	"w"	1
"2004"	"mountain bike"	"m"	1
"2004"	"mountain bike"	"w"	1
"2004"	"rhythmic g."	"w"	2
"2004"	"rowing"	"m"	8
"2004"	"rowing"	"w"	6
"2004"	"sailing"	"m"	4
"2004"	"sailing"	"w"	4
"2004"	"sailing"	"x"	3
"2004"	"shooting"	"m"	10
"2004"	"shooting"	"w"	7
"2004"	"softball"	"w"	1
"2004"	"swimming"	"m"	16
"2004"	"swimming"	"w"	16
"2004"	"synchronized s."	"w"	2
"2004"	"table tennis"	"m"	2
"2004"	"table tennis"	"w"	2
"2004"	"taekwondo"	"m"	4
"2004"	"taekwondo"	"w"	4
"2004"	"tennis"	"m"	2
"2004"	"tennis"	"w"	2
"2004"	"trampoline"	"m"	1
"2004"	"trampoline"	"w"	1
"2004"	"triathlon"	"m"	1
"2004"	"triathlon"	"w"	1
"2004"	"volleyball"	"m"	1
"2004"	"volleyball"	"w"	1
"2004"	"water polo"	"m"	1
"2004"	"water polo"	"w"	1
"2004"	"weightlifting"	"m"	8
"2004"	"weightlifting"	"w"	7
"2004"	"wrestling free."	"m"	7
"2004"	"wrestling free."	"w"	4
"2004"	"wrestling gre-r"	"m"	7
"2008"	"archery"	"m"	2
"2008"	"archery"	"w"	2
"2008"	"artistic g."	"m"	8
"2008"	"artistic g."	"w"	6
"2008"	"athletics"	"m"	24
"2008"	"athletics"	"w"	23
"2008"	"badminton"	"m"	2
"2008"	"badminton"	"w"	2
"2008"	"badminton"	"x"	1
"2008"	"baseball"	"m"	1
"2008"	"basketball"	"m"	1
"2008"	"basketball"	"w"	1
"2008"	"beach volley."	"m"	1
"2008"	"beach volley."	"w"	1
"2008"	"bmx"	"m"	1
"2008"	"bmx"	"w"	1
"2008"	"boxing"	"m"	11
"2008"	"canoe / kayak f"	"m"	9
"2008"	"canoe / kayak f"	"w"	3
"2008"	"canoe / kayak s"	"m"	3
"2008"	"canoe / kayak s"	"w"	1
"2008"	"cycling road"	"m"	2
"2008"	"cycling road"	"w"	2
"2008"	"cycling track"	"m"	7
"2008"	"cycling track"	"w"	3
"2008"	"diving"	"m"	4
"2008"	"diving"	"w"	4
"2008"	"dressage"	"x"	2
"2008"	"eventing"	"x"	2
"2008"	"fencing"	"m"	5
"2008"	"fencing"	"w"	5
"2008"	"football"	"m"	1
"2008"	"football"	"w"	1
"2008"	"handball"	"m"	1
"2008"	"handball"	"w"	1
"2008"	"hockey"	"m"	1
"2008"	"hockey"	"w"	1
"2008"	"judo"	"m"	7
"2008"	"judo"	"w"	7
"2008"	"jumping"	"x"	2
"2008"	"modern pentath."	"m"	1
"2008"	"modern pentath."	"w"	1
"2008"	"mountain bike"	"m"	1
"2008"	"mountain bike"	"w"	1
"2008"	"rhythmic g."	"w"	2
"2008"	"rowing"	"m"	8
"2008"	"rowing"	"w"	6
"2008"	"sailing"	"m"	4
"2008"	"sailing"	"w"	4
"2008"	"sailing"	"x"	3
"2008"	"shooting"	"m"	9
"2008"	"shooting"	"w"	6
"2008"	"softball"	"w"	1
"2008"	"swimming"	"m"	17
"2008"	"swimming"	"w"	17
"2008"	"synchronized s."	"w"	2
"2008"	"table tennis"	"m"	2
"2008"	"table tennis"	"w"	2
"2008"	"taekwondo"	"m"	4
"2008"	"taekwondo"	"w"	4
"2008"	"tennis"	"m"	2
"2008"	"tennis"	"w"	2
"2008"	"trampoline"	"m"	1
"2008"	"trampoline"	"w"	1
"2008"	"triathlon"	"m"	1
"2008"	"triathlon"	"w"	1
"2008"	"volleyball"	"m"	1
"2008"	"volleyball"	"w"	1
"2008"	"water polo"	"m"	1
"2008"	"water polo"	"w"	1
"2008"	"weightlifting"	"m"	8
"2008"	"weightlifting"	"w"	7
"2008"	"wrestling free."	"m"	7
"2008"	"wrestling free."	"w"	4
"2008"	"wrestling gre-r"	"m"	7
"2012"	"archery"	"m"	2
"2012"	"archery"	"w"	2
"2012"	"artistic g."	"m"	8
"2012"	"artistic g."	"w"	6
"2012"	"athletics"	"m"	24
"2012"	"athletics"	"w"	23
"2012"	"badminton"	"m"	2
"2012"	"badminton"	"w"	2
"2012"	"badminton"	"x"	1
"2012"	"basketball"	"m"	1
"2012"	"basketball"	"w"	1
"2012"	"beach volley."	"m"	1
"2012"	"beach volley."	"w"	1
"2012"	"bmx"	"m"	1
"2012"	"bmx"	"w"	1
"2012"	"boxing"	"m"	10
"2012"	"boxing"	"w"	3
"2012"	"canoe / kayak f"	"m"	8
"2012"	"canoe / kayak f"	"w"	4
"2012"	"canoe / kayak s"	"m"	3
"2012"	"canoe / kayak s"	"w"	1
"2012"	"cycling road"	"m"	2
"2012"	"cycling road"	"w"	2
"2012"	"cycling track"	"m"	5
"2012"	"cycling track"	"w"	5
"2012"	"diving"	"m"	4
"2012"	"diving"	"w"	4
"2012"	"dressage"	"x"	2
"2012"	"eventing"	"x"	2
"2012"	"fencing"	"m"	5
"2012"	"fencing"	"w"	5
"2012"	"football"	"m"	1
"2012"	"football"	"w"	1
"2012"	"handball"	"m"	1
"2012"	"handball"	"w"	1
"2012"	"hockey"	"m"	1
"2012"	"hockey"	"w"	1
"2012"	"judo"	"m"	7
"2012"	"judo"	"w"	7
"2012"	"jumping"	"x"	2
"2012"	"modern pentath."	"m"	1
"2012"	"modern pentath."	"w"	1
"2012"	"mountain bike"	"m"	1
"2012"	"mountain bike"	"w"	1
"2012"	"rhythmic g."	"w"	2
"2012"	"rowing"	"m"	8
"2012"	"rowing"	"w"	6
"2012"	"sailing"	"m"	6
"2012"	"sailing"	"w"	4
"2012"	"shooting"	"m"	9
"2012"	"shooting"	"w"	6
"2012"	"swimming"	"m"	17
"2012"	"swimming"	"w"	17
"2012"	"synchronised s."	"w"	2
"2012"	"table tennis"	"m"	2
"2012"	"table tennis"	"w"	2
"2012"	"taekwondo"	"m"	4
"2012"	"taekwondo"	"w"	4
"2012"	"tennis"	"m"	2
"2012"	"tennis"	"w"	2
"2012"	"tennis"	"x"	1
"2012"	"trampoline"	"m"	1
"2012"	"trampoline"	"w"	1
"2012"	"triathlon"	"m"	1
"2012"	"triathlon"	"w"	1
"2012"	"volleyball"	"m"	1
"2012"	"volleyball"	"w"	1
"2012"	"water polo"	"m"	1
"2012"	"water polo"	"w"	1
"2012"	"weightlifting"	"m"	8
"2012"	"weightlifting"	"w"	7
"2012"	"wrestling free."	"m"	7
"2012"	"wrestling free."	"w"	4
"2012"	"wrestling gre-r"	"m"	7
"2016"	"archery"	"m"	2
"2016"	"archery"	"w"	2
"2016"	"artistic g."	"m"	8
"2016"	"artistic g."	"w"	6
"2016"	"athletics"	"m"	24
"2016"	"athletics"	"w"	23
"2016"	"badminton"	"m"	2
"2016"	"badminton"	"w"	2
"2016"	"badminton"	"x"	1
"2016"	"basketball"	"m"	1
"2016"	"basketball"	"w"	1
"2016"	"beach volley."	"m"	1
"2016"	"beach volley."	"w"	1
"2016"	"bmx"	"m"	1
"2016"	"bmx"	"w"	1
"2016"	"boxing"	"m"	10
"2016"	"boxing"	"w"	3
"2016"	"canoe / kayak f"	"m"	8
"2016"	"canoe / kayak f"	"w"	4
"2016"	"canoe / kayak s"	"m"	3
"2016"	"canoe / kayak s"	"w"	1
"2016"	"cycling road"	"m"	2
"2016"	"cycling road"	"w"	2
"2016"	"cycling track"	"m"	5
"2016"	"cycling track"	"w"	5
"2016"	"diving"	"m"	4
"2016"	"diving"	"w"	4
"2016"	"dressage"	"x"	2
"2016"	"eventing"	"x"	2
"2016"	"fencing"	"m"	5
"2016"	"fencing"	"w"	5
"2016"	"football"	"m"	1
"2016"	"football"	"w"	1
"2016"	"golf"	"m"	1
"2016"	"golf"	"w"	1
"2016"	"handball"	"m"	1
"2016"	"handball"	"w"	1
"2016"	"hockey"	"m"	1
"2016"	"hockey"	"w"	1
"2016"	"judo"	"m"	7
"2016"	"judo"	"w"	7
"2016"	"jumping"	"x"	2
"2016"	"modern pentath."	"m"	1
"2016"	"modern pentath."	"w"	1
"2016"	"mountain bike"	"m"	1
"2016"	"mountain bike"	"w"	1
"2016"	"rhythmic g."	"w"	2
"2016"	"rowing"	"m"	8
"2016"	"rowing"	"w"	6
"2016"	"rugby sevens"	"m"	1
"2016"	"rugby sevens"	"w"	1
"2016"	"sailing"	"m"	5
"2016"	"sailing"	"w"	4
"2016"	"sailing"	"x"	1
"2016"	"shooting"	"m"	9
"2016"	"shooting"	"w"	6
"2016"	"swimming"	"m"	17
"2016"	"swimming"	"w"	17
"2016"	"synchronised s."	"w"	2
"2016"	"table tennis"	"m"	2
"2016"	"table tennis"	"w"	2
"2016"	"taekwondo"	"m"	4
"2016"	"taekwondo"	"w"	4
"2016"	"tennis"	"m"	2
"2016"	"tennis"	"w"	2
"2016"	"tennis"	"x"	1
"2016"	"trampoline"	"m"	1
"2016"	"trampoline"	"w"	1
"2016"	"triathlon"	"m"	1
"2016"	"triathlon"	"w"	1
"2016"	"volleyball"	"m"	1
"2016"	"volleyball"	"w"	1
"2016"	"water polo"	"m"	1
"2016"	"water polo"	"w"	1
"2016"	"weightlifting"	"m"	8
"2016"	"weightlifting"	"w"	7
"2016"	"wrestling free."	"m"	6
"2016"	"wrestling free."	"w"	6
"2016"	"wrestling gre-r"	"m"	6
"1896"	"total"	"m"	43
"1900"	"total"	"m"	72
"1900"	"total"	"w"	2
"1900"	"total"	"x"	8
"1904"	"total"	"m"	89
"1904"	"total"	"w"	3
"1908"	"total"	"m"	96
"1908"	"total"	"w"	4
"1908"	"total"	"x"	5
"1912"	"total"	"m"	85
"1912"	"total"	"w"	5
"1912"	"total"	"x"	8
"1920"	"total"	"m"	122
"1920"	"total"	"w"	8
"1920"	"total"	"x"	18
"1924"	"total"	"m"	105
"1924"	"total"	"w"	10
"1924"	"total"	"x"	6
"1928"	"total"	"m"	84
"1928"	"total"	"w"	14
"1928"	"total"	"x"	5
"1932"	"total"	"m"	85
"1932"	"total"	"w"	14
"1932"	"total"	"x"	6
"1936"	"total"	"m"	96
"1936"	"total"	"w"	15
"1936"	"total"	"x"	6
"1948"	"total"	"m"	99
"1948"	"total"	"w"	19
"1948"	"total"	"x"	7
"1952"	"total"	"m"	106
"1952"	"total"	"w"	25
"1952"	"total"	"x"	6
"1956"	"total"	"m"	107
"1956"	"total"	"w"	26
"1956"	"total"	"x"	6
"1960"	"total"	"m"	104
"1960"	"total"	"w"	29
"1960"	"total"	"x"	6
"1964"	"total"	"m"	109
"1964"	"total"	"w"	33
"1964"	"total"	"x"	6
"1968"	"total"	"m"	113
"1968"	"total"	"w"	39
"1968"	"total"	"x"	6
"1972"	"total"	"m"	119
"1972"	"total"	"w"	43
"1972"	"total"	"x"	15
"1976"	"total"	"m"	118
"1976"	"total"	"w"	49
"1976"	"total"	"x"	13
"1980"	"total"	"m"	122
"1980"	"total"	"w"	50
"1980"	"total"	"x"	13
"1984"	"total"	"m"	133
"1984"	"total"	"w"	61
"1984"	"total"	"x"	8
"1988"	"total"	"m"	138
"1988"	"total"	"w"	69
"1988"	"total"	"x"	8
"1992"	"total"	"m"	142
"1992"	"total"	"w"	81
"1992"	"total"	"x"	8
"1996"	"total"	"m"	147
"1996"	"total"	"w"	92
"1996"	"total"	"x"	7
"2000"	"total"	"m"	153
"2000"	"total"	"w"	113
"2000"	"total"	"x"	8
"2004"	"total"	"m"	152
"2004"	"total"	"w"	118
"2004"	"total"	"x"	6
"2008"	"total"	"m"	151
"2008"	"total"	"w"	119
"2008"	"total"	"x"	6
"2012"	"total"	"m"	155
"2012"	"total"	"w"	124
"2012"	"total"	"x"	7
"2016"	"total"	"m"	154
"2016"	"total"	"w"	128
"2016"	"total"	"x"	8
